state,candidate,party,votes,percent,source
Imo,Mba Anthony Onyegbula,Alliance of Social Democrats (ASD),183.0,0.03,results_table
Imo,Paschal Ejiogu,Alliance for New Nigeria (ANN),171.0,0.02,results_table
Imo,Munonye Ikechukwu Obinna,Sustainable National Party (SNP),173.0,0.02,results_table
Imo,Tony Kelvin Obinna,New Progressive Movement (NPM),166.0,0.02,results_table
Imo,Clifford Okechukwu E.,Democratic Alternative (DA),163.0,0.02,results_table
Imo,Daniel Ahizechukwu Okorojiaku,New Nigeria Peoples Party (NNPP),157.0,0.02,results_table
Imo,Ike Ibe C.,Independent Democrats (ID),144.0,0.02,results_table
Imo,Chigozie Jerry Iheanacho,Masses Movement of Nigeria (MMN),132.0,0.02,results_table
Imo,Ikenna Chukwunenye Emmanuel,Change Advocacy Party (CAP),125.0,0.02,results_table
Imo,Osuagwu Chigozie Chigozie,Yes Electorates Solidarity (YES),116.0,0.02,results_table
Imo,Ben Diribe Eberechukwu,Grassroots Development Party of Nigeria (GDPN),112.0,0.02,results_table
Imo,Nwokorie Donald C.,National Action Council (NAC),108.0,0.02,results_table
Imo,Edwin Chigozie Uche,Alliance for Democracy (AD),97.0,0.01,results_table
Imo,Ekeh Nosike Collins,Advanced Nigeria Democratic Party (ANDP),86.0,0.01,results_table
Imo,Ubah Nathaniel C.,People's Redemption Party (PRP),84.0,0.01,results_table
Imo,Jeffrey Chinedu Uzor,Association for Better Nigeria (ABN),83.0,0.01,results_table
Imo,Duru Benneth Onyekachi,Nigeria Elements Progressive Party (NEPP),68.0,0.01,results_table
Imo,Ononogbo Emeka Emmanuel,Green Party of Nigeria (GPN),66.0,0.01,results_table
Imo,Adrian Chijioke Achodo,Mega Party of Nigeria (MPN),59.0,0.01,results_table
Imo,Mbanefo Chris Ezuma,Alliance for a United Nigeria (AUN),55.0,0.01,results_table
Imo,Okere Kingdom Nnamdi,Reformed Advanced Party (RAP),53.0,0.01,results_table
Imo,Nnamdi Iwuanyanwu Isaac,Nigeria People's Congress (NPC),53.0,0.01,results_table
Imo,Ikoku Michael Obinna,Young Democratic Party (YDP),50.0,0.01,results_table
Imo,Prince Obumneme K. Nwaigbo,We The People Nigeria (WTPN),47.0,0.01,results_table
Imo,Okechukwu Kingsley Okoroafor,Kowa Party (KP),45.0,0.01,results_table
Imo,Igbokwe Marvin Chigozie,Nigeria Community Movement Party (NCMP),43.0,0.01,results_table
Imo,Ochiama Otibe Excel,Fresh Democratic Party (FRESH),40.0,0.01,results_table
Imo,Njoku Anne Philips,Re-build Nigeria Party (RBNP),39.0,0.01,results_table
Imo,Ekegu Chigozie John,Save Nigeria Congress (SNC),37.0,0.01,results_table
Imo,Abednego Elias Chukwuemeka,National Interest Party (NIP),37.0,0.01,results_table
Imo,Onwubuariri Ijeoma,National Democratic Liberty Party (NDLP),34.0,0.0,results_table
Imo,Canice Chukwuemeka Asonye,Justice Must Prevail Party (JMPP),30.0,0.0,results_table
Imo,Abanno Barnabas Chibuzor,Coalition for Change (C4C),26.0,0.0,results_table
Imo,Ikechukwu Nwaopara,Movement for the Restoration and Defence of Democracy (MRDD),24.0,0.0,results_table
Jigawa,Mohammed Badaru Abubakar,All Progressives Congress,810933.0,73.51,results_table
Jigawa,Aminu Ibrahim Ringim,People's Democratic Party,288356.0,26.14,results_table
Jigawa,Other candidates,,3827.0,0.35,results_table
Kaduna,Nasir Ahmad el-Rufai,All Progressives Congress (APC),1045427.0,55.32,results_table
Kaduna,Isah Ashiru,People's Democratic Party (PDP),814168.0,43.08,results_table
Kaduna,Haruna Saeed,Social Democratic Party (SDP),9828.0,0.52,results_table
Kaduna,Ahmad Tijjani Omar,People's Redemption Party (PRP),5626.0,0.3,results_table
Kaduna,Polycarp Danladi Gankon,All Progressives Grand Alliance (APGA),2405.0,0.13,results_table
Kaduna,Sani Abdulkadir,New Nigeria People's Party (NNPP),2025.0,0.11,results_table
Kaduna,Othman Mustapha Bakano,African Peoples Alliance (APA),1987.0,0.11,results_table
Kaduna,Muhammad Kabir Uthman,Mega Party of Nigeria (MPN),1533.0,0.08,results_table
Kaduna,Muhammed Aliyu Galadima,National Rescue Movement (NRM),1151.0,0.06,results_table
Kaduna,Ibrahim Suleiman,African Democratic Congress (ADA),1011.0,0.05,results_table
Kaduna,Abubakar Aliyu,Change Advocacy Party (CAP),663.0,0.04,results_table
Kaduna,Kabir Ahmed Jibril,Progressive Peoples Party (PPA),594.0,0.03,results_table
Kaduna,Solomon Yahaya Ikagwu,Nigeria People's Congress (NPC),449.0,0.02,results_table
Kaduna,Metoh H. Yakubu,All Grassroots Party (AGA),324.0,0.02,results_table
Kaduna,Abdullahi Awwal Aliyu,United Democratic Party (UDP),316.0,0.02,results_table
Kaduna,Ahmad Muhammad,Green Party of Nigeria (GPN),238.0,0.01,results_table
Kaduna,Salim Muhammad,African Peoples Party (APP),162.0,0.01,results_table
Kaduna,Emmanuel Parah Bako,National Conscience Party (NCP),162.0,0.01,results_table
Kaduna,Adamu Idris Chado,Democratic Peoples Congress (DPC),157.0,0.01,results_table
Kaduna,Shehu Abubakar,People's Party of Nigeria (PPN),147.0,0.01,results_table
Kaduna,Aminu Sabo,Alliance for New Nigeria (ANN),133.0,0.01,results_table
Kaduna,Umar Ibrahim Farouk,Labour Party (LP),125.0,0.01,results_table
Kaduna,Mansur Suleiman,Nigeria Elements Progressive Party (NEPP),121.0,0.01,results_table
Kaduna,Umar Uba,National Interest Party (NIP),102.0,0.01,results_table
Kaduna,Yahaya Alhassan Marafa,Unity Party of Nigeria (UPN),99.0,0.01,results_table
Kaduna,Jamilu Mohammad,Accord (A),97.0,0.01,results_table
Kaduna,Shika Rabiatu Sulaiman,National Action Council (NAC),88.0,0.0,results_table
Kaduna,Muhammad Fatima Binta,Restoration Party of Nigeria (RP),86.0,0.0,results_table
Kaduna,Umar Suleiman,Democratic Alternative (DA),74.0,0.0,results_table
Kaduna,Suleiman Abdulrasheed,Masses Movement of Nigeria (MMN),68.0,0.0,results_table
Kaduna,Abubakar Abdullahi,Zenith Labour Party (ZLP),67.0,0.0,results_table
Kaduna,Ahmad Rabiu Bello,Hope Democratic Party (HDP),66.0,0.0,results_table
Kaduna,Muhammed Jibrin Muntaka,Independent Democrats (ID),58.0,0.0,results_table
Kaduna,Halliru Tafida Abdullahi,Movement for the Restoration and Defence of Democracy (MRDD),52.0,0.0,results_table
Kaduna,Ezekiel Habila,Liberation Movement (LM),36.0,0.0,results_table
Kaduna,Iliyasu Aminu Mustapha,Action Alliance (AA),32.0,0.0,results_table
Kaduna,Yusuf Abdulfatai,We The People Nigeria (WTPN),23.0,0.0,results_table
Kaduna,Muhammed Umar,Justice Must Prevail Party (JMPP),14.0,0.0,results_table
Kano,Abdullahi Umar Ganduje,APC,,,infobox
Kano,Abba Kabir Yusuf,PDP,,,infobox
Kano,,,,,infobox
Katsina,Aminu Bello Masari,All Progressives Congress,1178864.0,70.04,results_table
Katsina,Garba Yakubu Lado,People's Democratic Party,488621.0,29.03,results_table
Katsina,Other candidates,,15560.0,0.92,results_table
Kebbi,Abubakar Atiku Bagudu,All Progressives Congress,673717.0,84.92,results_table
Kebbi,Isa Mohammed Galaudu,People's Democratic Party,106633.0,13.44,results_table
Kebbi,Other candidates,,13038.0,1.64,results_table
Kogi,Yahaya Bello,All Progressives Congress,406222.0,66.51,results_table
Kogi,Musa Wada,People's Democratic Party,189704.0,31.06,results_table
Kogi,Other candidates,,14818.0,2.43,results_table
Kwara,AbdulRahman AbdulRazaq,All Progressives Congress (APC),331546.0,73.12,results_table
Kwara,Razak Atunwa,People's Democratic Party (PDP),114754.0,25.31,results_table
Kwara,Tiamiyu Kolapo Kamorudeen,Progressive Peoples Alliance (PPA),1482.0,0.33,results_table
Kwara,Sharafadeen A. Kolawole Aderemmy,African Peoples Alliance (APA),1163.0,0.26,results_table
Kwara,Ayorinde O. Adedoyin,Accord (A),860.0,0.19,results_table
Kwara,Aransiola Ezekiel,People for Democratic Change (PDC),432.0,0.1,results_table
Kwara,Manzuma Issa,African Democratic Congress (ADC),391.0,0.09,results_table
Kwara,Adisa Ismail Abayomi,Action Alliance (AA),378.0,0.08,results_table
Kwara,Mohammed Abubakar Mohammed,Allied Peoples Movement (APM),293.0,0.06,results_table
Kwara,Tunde Muritala O.,Allied Congress Party of Nigeria (ACPN),272.0,0.06,results_table
Kwara,Olajide Joseph Adebola,Social Democratic Party (SDP),209.0,0.05,results_table
Kwara,Oniye Shina Hammed,Action Democratic Party (ADP),179.0,0.04,results_table
Kwara,Abdulazeez Yinka Oniyangi,New Progressive Movement (NPM),148.0,0.03,results_table
Kwara,Mohammad Liman Abdullahi,Alliance Network Party (ANP),134.0,0.03,results_table
Kwara,Abdulmumin Yinka Ajia,Abundant Nigeria Renewal Party (ANRP),115.0,0.03,results_table
Kwara,Tosho Babatunde Omotosho A.,Nigeria Elements Progressive Party (NEPP),108.0,0.02,results_table
Kwara,Belgore Ahmad Kawu,Justice Must Prevail Party (JMPP),105.0,0.02,results_table
Kwara,Ibrahim Abdullahi Anifowoshe,Movement for the Restoration and Defence of Democracy (MRDD),86.0,0.02,results_table
Kwara,Aina Ayodeji Adetunji,All Blending Party (ABP),83.0,0.02,results_table
Kwara,Ayinla John Oloruntoba,National Conscience Party (NCP),74.0,0.02,results_table
